Postcode,Postcode78,Easting,Northing,OA,X,Y
BA1 1HD,BA1 1HD,374922,164893,E00072573,-2.361764841,51.38247428
BA1 1HE,BA1 1HE,374901,164926,E00072573,-2.362068939,51.38277008
BA1 1HF,BA1 1HF,374870,164921,E00072573,-2.362514054,51.38272376
BA1 1HG,BA1 1HG,374848,164895,E00072756,-2.362828417,51.38248897
BA1 1HH,BA1 1HH,374859,164940,E00072573,-2.36267345,51.38289406
BA1 1HJ,BA1 1HJ,374825,164887,E00072756,-2.363158275,51.38241604
BA1 1HL,BA1 1HL,374771,164894,E00072756,-2.363934668,51.38247656
BA1 1HN,BA1 1HN,374732,164917,E00072756,-2.364496817,51.38268165
BA1 1HQ,BA1 1HQ,374853,164864,E00072756,-2.362754299,51.38221045
BA1 1HT,BA1 1HT,374736,164918,E00072756,-2.364439309,51.38269082
BA1 1HU,BA1 1HU,374673,164877,E00072756,-2.365341647,51.38231936
BA1 1HX,BA1 1HX,374633,164811,E00072755,-2.365911755,51.38172411
BA1 1HZ,BA1 1HZ,374517,164695,E00072758,-2.367570199,51.3806758
BA1 1JB,BA1 1JB,374562,164784,E00072758,-2.366929986,51.38147812
BA1 1JD,BA1 1JD,374482,164705,E00072758,-2.368073828,51.3807642
BA1 1JG,BA1 1JG,375231,164543,E00072575,-2.357300239,51.37934083
BA1 1JH,BA1 1JH,375234,164399,E00072575,-2.357247156,51.37804617
BA1 1JN,BA1 1JN,375266,164530,E00072575,-2.356796437,51.3792255
BA1 1JP,BA1 1JP,375268,164408,E00072575,-2.35675924,51.37812856
BA1 1JQ,BA1 1JQ,375232,164512,E00072575,-2.357283734,51.37906212
BA1 1JR,BA1 1JR,375210,164580,E00072575,-2.357604567,51.37967259
BA1 1JS,BA1 1JS,375163,164560,E00072575,-2.35827855,51.37949075
BA1 1JT,BA1 1JT,375187,164606,E00072574,-2.357936916,51.37990539
BA1 1JU,BA1 1JU,375179,164640,E00072574,-2.358054216,51.38021076
BA1 1JW,BA1 1JW,375279,164486,E00072575,-2.356606658,51.37883037
BA1 1JX,BA1 1JX,375211,164643,E00072575,-2.357594646,51.38023913
BA1 1JZ,BA1 1JZ,375230,164579,E00072575,-2.357317212,51.37966448
BA1 1LA,BA1 1LA,375229,164630,E00072575,-2.357335118,51.38012306
BA1 1LB,BA1 1LB,375255,164645,E00072575,-2.356962633,51.38025904
BA1 1LE,BA1 1LE,375254,164658,E00072575,-2.356977877,51.38037585
BA1 1LF,BA1 1LF,375218,164679,E00072575,-2.357496587,51.38056313
BA1 1LJ,BA1 1LJ,375179,164699,E00072574,-2.358058356,51.38074129
BA1 1LN,BA1 1LN,375189,164738,E00072574,-2.357917386,51.3810924
BA1 1LP,BA1 1LP,375192,164767,E00072574,-2.357876413,51.38135321
BA1 1LT,BA1 1LT,375159,164740,E00072574,-2.358348645,51.38110906
BA1 1LY,BA1 1LY,375055,164780,E00072573,-2.359845867,51.38146413
